No	テストID	区分	確認対象	前提条件	操作手順	期待結果	確認種別	優先度	結果	実施日	実施者	エビデンスNo	不具合票No	再確認要否	再確認結果	備考
1	IT-SCR-001	初期表示	画面全体	対象画面にアクセス可能であること	対象画面を初期表示する	レイアウト崩れ、文字切れ、要素欠けがなく表示されること	変更箇所確認	高	未実施					
2	IT-SCR-002	初期表示	画面タイトル・説明文	対象画面を表示済みであること	見出し、説明文、注釈文を確認する	タイトル、説明文、注釈文が設計どおり表示されること	変更箇所確認	中	未実施					
3	IT-SCR-003	入力	テキスト入力欄	入力可能項目が存在すること	入力欄に文字を入力する	ラベル、入力欄、プレースホルダー、フォーカス表示が正しいこと	変更箇所確認	高	未実施					
4	IT-SCR-004	入力	セレクトボックス	選択項目が存在すること	セレクトボックスを開き値を選択する	選択前後の見た目と選択結果表示が正しいこと	変更箇所確認	中	未実施					
5	IT-SCR-005	操作	主操作ボタン	主操作ボタンが存在すること	主操作ボタンを押下する	押下可能状態で正常に動作し、見た目も崩れないこと	変更箇所確認	高	未実施					
6	IT-SCR-006	操作	補助操作ボタン／リンク	補助操作が存在すること	戻る、クリア、再読込などを操作する	補助操作が想定どおり実行されること	変更箇所確認	中	未実施					
7	IT-SCR-007	画面遷移	主要導線	遷移先画面が存在すること	主要リンクまたはボタンから遷移する	遷移先に正常遷移し、遷移先画面でも崩れがないこと	変更箇所確認	高	未実施					
8	IT-SCR-008	結果表示	成功メッセージ	成功する操作が存在すること	正常操作を行う	成功メッセージが設計どおり表示されること	変更箇所確認	中	未実施					
9	IT-SCR-009	結果表示	エラーメッセージ	エラーになる操作が存在すること	未入力または不正入力で操作する	エラーメッセージが想定位置に表示されること	変更箇所確認	高	未実施					
10	IT-SCR-010	状態確認	非活性項目	非活性項目が存在すること	非活性項目の見た目と押下可否を確認する	操作不可項目が誤って操作可能になっていないこと	変更箇所確認	高	未実施					
11	IT-SCR-011	条件分岐	0件表示	対象データを0件条件にする	一覧表示を実行する	0件時メッセージやレイアウトが正しく表示されること	変更箇所確認	中	未実施					
12	IT-SCR-012	条件分岐	1件／複数件表示	対象データを準備済みであること	1件時、複数件時をそれぞれ確認する	件数差による表示崩れがないこと	変更箇所確認	中	未実施					
13	IT-SCR-013	異常系	取得失敗時表示	通信失敗などを再現できること	取得失敗条件で画面表示する	未処理例外画面ではなく利用者向け表示となること	変更箇所確認	高	未実施					
14	IT-SCR-014	影響確認	関連画面表示	関連画面へ遷移可能であること	関連画面を表示する	変更の波及による表示崩れがないこと	影響確認	高	未実施					
15	IT-SCR-015	影響確認	共通入力欄・共通ボタン	共通部品利用画面が存在すること	関連画面の共通部品表示を確認する	共通部品変更による意図しない崩れがないこと	影響確認	高	未実施					
16	IT-SCR-016	影響確認	レスポンシブ表示	画面幅変更が可能であること	画面幅を狭めて表示する	狭幅時も主要要素が重ならず、操作不能にならないこと	影響確認	中	未実施					
17	IT-SCR-017	証跡	エビデンス採番	スクリーンショット取得可能であること	結果に対応する証跡を採番して保存する	エビデンス番号と結果が対応づくこと	証跡整理	中	未実施					
18	IT-SCR-018	再確認	修正後再試験	不具合が発生していること	修正後に再試験を行う	修正内容が反映され、再発がないこと	再確認	高	未実施					
